Country,Ladder,Log_GDP,Soc_Support,Health_Expect,Freedom,Generosity,Conf_Gov,Pos_Affect,Neg_Affect,Corrupt,sdLadder,cvLadder,Gini_Household,Int_Score
Ethiopia,4.2978487015,7.3778038025,0.7187187076,56.0490226746,0.7443076968,0.0522867255,0.7489455938,0.727070868,0.2539405227,0.7028808594,1.8089821339,0.4209040999,0.5209882259,3.42613269885381
Finland,7.6598434448,10.5687627792,0.9539404511,71.3826904297,0.9483721852,-0.035874676,0.4857272506,0.7973250747,0.1819984466,0.2496595681,1.4790186882,0.1930873245,0.3948212266,8.79624287287394
France,6.4752087593,10.5362472534,0.8849229217,72.5975036621,0.7867804766,-0.1013936847,0.2839781642,0.7726613283,0.2700362504,0.6226970553,1.8015296459,0.2782195508,0.3409851491,7.47984449068705
Gabon,4.8317642212,9.8602571487,0.7800489664,56.1111450195,0.6989423633,-0.235984087,0.3780697584,0.6401165724,0.4324046671,0.8165635467,2.2144637108,0.4583137035,0.5572369099,3.44388494888941
Georgia,4.4483861923,9.159031868,0.5334122777,65.8591384888,0.6064683795,-0.2381009161,0.3445411325,0.5638960004,0.223224476,0.5609240532,1.9602085352,0.4406560957,0.4409916997,3.68184347947439
Germany,6.8737630844,10.7041683197,0.906029284,70.8631744385,0.8705150485,0.1369479746,0.5526135564,0.7377459407,0.1872549355,0.4459221363,1.775906086,0.2583600879,0.3545125127,7.94856290022532
Ghana,4.5144114494,8.3109083176,0.647303164,53.6958198547,0.7511683702,0.0952652246,0.5166046023,0.6682639122,0.3049097061,0.8939552307,2.7370426655,0.6062900424,0.5434268117,2.65898744265238
Greece,5.3026194572,10.1151227951,0.8026058674,71.2501373291,0.4816168547,-0.2677674592,0.132486552,0.7005043626,0.336207509,0.898470819,2.3172979355,0.4370100498,0.3178486228,4.87841969976823
Guatemala,6.3589162827,8.9039382935,0.8112354875,62.1674537659,0.8626757264,0.009946201,0.4689621925,0.8461225033,0.3213571906,0.8120300174,2.6994218826,0.4245097339,0.48915869,5.68356196085612
Guinea,3.6028547287,7.0471482277,0.6754470468,50.4930992126,0.7256851792,-0.0040524337,0.4656958282,0.6869846582,0.374393791,0.8027811646,2.1184866428,0.5880022645,0.5201851726,2.07845131556193
Guyana,5.9928264618,8.5779972076,0.8487651944,57.4267730713,0.6940056682,0.1170622259,0.4647120535,0.7675405741,0.2964197695,0.8355690837,1.8410713673,0.3072125316,0.552103161811829,5.04769557155669
Haiti,3.3523001671,7.4098587036,0.5837424397,53.2077598572,0.3035404086,0.2976093888,0.1460646242,0.5527740717,0.3673410118,0.8385231495,2.1881439686,0.6527291536,0.6137102842,0.919138590494791
Honduras,5.6481547356,8.4925794601,0.773909986,63.5860900879,0.8500466943,0.0809134096,0.3892745078,0.8323967457,0.2968466878,0.7928751707,2.9706189632,0.5259450674,0.5294775367,5.07607038443287
Hong Kong,5.4984207153,10.8982629776,0.8320779204,75.9996948242,0.7997434139,0.0816455334,0.4496103823,0.6640927792,0.2131145895,0.4028125703,1.8192381859,0.3308655918,0.5132289529,6.92162970701854
Hungary,5.4489016533,10.1235284805,0.8995115757,67.3092651367,0.5539517403,-0.1960678548,0.3037723303,0.6659107804,0.2433257699,0.9241858125,1.8453776836,0.3386696577,0.3014981151,5.5185245970885
Iceland,7.5100345612,10.6890296936,0.984940052,72.0535430908,0.9516095519,0.2739878297,0.3635182977,0.8738878965,0.1581691653,0.7192995548,1.5712463856,0.2092195898,0.3406390846,9.48122223218282
